sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_index,patient_id,slice_index
90.05384,200.84421,22.242281,0.36314804599979067,317.23865,341.87973,17.622,0.43838459253580325,509.0463,241.06854,48.17582,320.92697,160.23769,477.39648,90.05384,317.23865,112,2ABA027,42
81.47412,175.21507,23.42804,0.36840560718125914,319.3685,342.683,17.601616,0.43183749074729705,439.62686,197.89735,49.046803,322.869,177.8855,496.18823,81.47412,319.3685,113,2ABA027,43
71.34014,149.96622,24.779598,0.3895562569100695,318.96765,342.5534,17.604902,0.4244062283658396,339.48337,140.84395,49.000023,324.43216,240.61813,554.5502,71.34014,318.96765,114,2ABA027,44
63.27817,120.2236,26.699675,0.39960260597216213,318.92606,339.65945,17.678593,0.4193096427939669,220.03212,77.18079,50.99628,328.81583,190.41661,486.99844,63.27817,318.92606,115,2ABA027,45
63.168526,120.943535,26.647816,0.4100133182546135,323.63303,344.7481,17.54943,0.4175008676929729,156.92468,59.745453,54.45621,332.73514,201.20274,501.4587,63.168526,323.63303,116,2ABA027,46
63.14288,123.999565,26.431065,0.4152251086311461,323.0009,344.4708,17.55642,0.4198486893412191,154.56573,71.9744,54.887444,333.2995,194.07181,496.32617,63.14288,323.0009,117,2ABA027,47
63.731075,126.48507,26.258682,0.4183669909981417,322.02057,344.23587,17.562346,0.4262344388628721,150.8903,87.403435,55.47298,334.0528,186.28879,497.01245,63.731075,322.02057,118,2ABA027,48
70.05767,138.0134,25.501043,0.4118469270075237,320.37936,343.47733,17.581505,0.4330920368047508,137.22699,88.85099,63.124496,335.25888,171.58807,468.79248,70.05767,320.37936,119,2ABA027,49
76.720924,149.2584,24.820692,0.3996145796428126,317.96243,343.12726,17.590363,0.4418366840292284,124.22167,93.903625,70.82694,335.559,181.79842,484.2908,76.720924,317.96243,120,2ABA027,50
83.26708,160.40492,24.195114,0.3837311236935338,313.904,342.21896,17.613386,0.4542437932269443,122.36683,103.52509,77.08578,334.04865,196.58359,490.2353,83.26708,313.904,121,2ABA027,51
